454, 375, 1
393, 468, 1
414, 218, 1
27, 240, 1
106, 349, 1
164, 267, 1
216, 333, 1
89, 106, 1
127, 475, 1
75, 338, 1
460, 131, 1
265, 97, 1
186, 468, 1
118, 337, 1
350, 28, 1
423, 143, 1
65, 41, 1
39, 18, 1
344, 78, 1
489, 85, 1
165, 453, 1
195, 491, 1
132, 59, 1
76, 322, 1
333, 35, 1
64, 276, 1
366, 319, 1
5, 323, 1
2, 372, 1
118, 59, 1
316, 468, 1
428, 259, 1
357, 71, 1
341, 8, 1
248, 187, 1
152, 422, 1
11, 278, 1
244, 61, 1
12, 283, 1
237, 391, 1
176, 44, 1
1, 29, 1
65, 283, 1
156, 251, 1
430, 494, 1
386, 342, 1
126, 373, 1
478, 85, 1
350, 268, 1
436, 444, 1
389, 418, 1
89, 270, 1
16, 98, 1
203, 226, 1
167, 333, 1
372, 220, 1
77, 209, 1
232, 233, 1
235, 22, 1
203, 301, 1
448, 130, 1
497, 53, 1
474, 48, 1
50, 61, 1
299, 328, 1
90, 153, 1
159, 251, 1
446, 443, 1
203, 396, 1
4, 9, 1
226, 22, 1
114, 402, 1
492, 430, 1
376, 217, 1
240, 421, 1
224, 329, 1
92, 316, 1
384, 31, 1
371, 427, 1
330, 34, 1
310, 153, 1
268, 51, 1
76, 210, 1
461, 388, 1
415, 442, 1
173, 50, 1
157, 410, 1
221, 31, 1
195, 194, 1
183, 95, 1
378, 178, 1
105, 484, 1
499, 131, 1
132, 221, 1
209, 133, 1
269, 120, 1
179, 98, 1
131, 338, 1
143, 494, 1
89, 108, 1
31, 179, 1
148, 409, 1
351, 369, 1
76, 151, 1
119, 154, 1
232, 225, 1
407, 171, 1
140, 342, 1
65, 370, 1
463, 252, 1
364, 192, 1
306, 387, 1
163, 65, 1
132, 356, 1
152, 272, 1
212, 487, 1
247, 13, 1
481, 116, 1
215, 341, 1
324, 387, 1
265, 28, 1
101, 308, 1
496, 158, 1
376, 158, 1
205, 164, 1
327, 208, 1
422, 472, 1
198, 424, 1
478, 368, 1
390, 160, 1
342, 427, 1
158, 4, 1
127, 449, 1
272, 98, 1
409, 256, 1
181, 235, 1
391, 133, 1
329, 478, 1
196, 302, 1
142, 5, 1
86, 383, 1
243, 261, 1
453, 7, 1
428, 215, 1
320, 183, 1
337, 46, 1
189, 187, 1
413, 343, 1
63, 102, 1
417, 171, 1
482, 293, 1
186, 38, 1
110, 276, 1
224, 480, 1
184, 16, 1
449, 138, 1
5, 269, 1
359, 491, 1
345, 411, 1
45, 319, 1
421, 296, 1
257, 366, 1
26, 53, 1
362, 390, 1
443, 14, 1
13, 479, 1
453, 113, 1
32, 68, 1
206, 111, 1
86, 415, 1
430, 190, 1
423, 191, 1
495, 458, 1
207, 234, 1
209, 23, 1
317, 69, 1
97, 325, 1
66, 328, 1
396, 459, 1
260, 362, 1
403, 7, 1
335, 78, 1
467, 330, 1
143, 54, 1
282, 192, 1
7, 65, 1
281, 306, 1
385, 408, 1
426, 436, 1
279, 358, 1
173, 315, 1
311, 420, 1
184, 316, 1
489, 384, 1
483, 355, 1
145, 417, 1
414, 126, 1
198, 100, 1
95, 46, 1
330, 311, 1
176, 200, 1
408, 488, 1
50, 171, 1
382, 202, 1
11, 33, 1
451, 439, 1
182, 316, 1
56, 25, 1
466, 99, 1
452, 214, 1
368, 309, 1
462, 199, 1
350, 227, 1
80, 489, 1
173, 177, 1
294, 156, 1
307, 163, 1
240, 162, 1
144, 206, 1
40, 341, 1
42, 203, 1
24, 197, 1
423, 397, 1
68, 347, 1
378, 222, 1
13, 242, 1
23, 175, 1
139, 283, 1
305, 165, 1
60, 410, 1
362, 153, 1
198, 441, 1
202, 433, 1
74, 365, 1
284, 357, 1
480, 212, 1
395, 296, 1
165, 388, 1
488, 230, 1
403, 315, 1
466, 155, 1
367, 452, 1
170, 151, 1
175, 314, 1
85, 198, 1
491, 465, 1
109, 444, 1
203, 165, 1
443, 425, 1
120, 87, 1
60, 191, 1
473, 327, 1
181, 468, 1
25, 456, 1
438, 52, 1
392, 312, 1
224, 88, 1
206, 272, 1
296, 440, 1
323, 32, 1
132, 12, 1
135, 351, 1
431, 17, 1
461, 9, 1
36, 464, 1
158, 306, 1
139, 32, 1
129, 143, 1
482, 425, 1
391, 345, 1
153, 409, 1
347, 39, 1
417, 94, 1
422, 130, 1
50, 343, 1
442, 343, 1
159, 84, 1
478, 116, 1
391, 477, 1
68, 292, 1
418, 222, 1
458, 352, 1
2, 481, 1
289, 120, 1
445, 101, 1
16, 458, 1
404, 78, 1
287, 357, 1
269, 23, 1
262, 478, 1
423, 393, 1
382, 146, 1
201, 3, 1
204, 213, 1
66, 239, 1
242, 181, 1
43, 181, 1
99, 140, 1
109, 460, 1
117, 189, 1
189, 445, 1
63, 214, 1
262, 207, 1
121, 397, 1
5, 382, 1
340, 84, 1
188, 48, 1
419, 225, 1
277, 346, 1
108, 166, 1
218, 331, 1
120, 425, 1
435, 256, 1
410, 366, 1
304, 332, 1
343, 24, 1
285, 463, 1
211, 326, 1
168, 490, 1
269, 383, 1
345, 434, 1
76, 10, 1
498, 451, 1
154, 268, 1
270, 419, 1
450, 61, 1
173, 195, 1
278, 430, 1
353, 270, 1
204, 199, 1
86, 450, 1
269, 56, 1
101, 188, 1
352, 138, 1
19, 473, 1
234, 31, 1
486, 190, 1
458, 66, 1
154, 485, 1
12, 303, 1
253, 202, 1
327, 395, 1
325, 370, 1
472, 470, 1
402, 399, 1
307, 368, 1
33, 396, 1
138, 336, 1
86, 439, 1
54, 79, 1
454, 304, 1
299, 64, 1
484, 95, 1
212, 226, 1
98, 69, 1
97, 234, 1
415, 136, 1
179, 296, 1
70, 380, 1
